date,nav_jpy,principal_jpy,diff_jpy,diff_pct,cash_ratio,open_lots
2026-08-24,100000000.0,100000000.0,0.0,0.0,0.6482,13
2026-08-25,100207310.0,100000000.0,207310.0,0.2073,0.5628,16
2026-08-26,99948450.0,100000000.0,-51550.0,-0.0515,0.5113,17
2026-08-27,100374670.0,100000000.0,374670.0,0.3747,0.4631,16
2026-08-28,100257760.0,100000000.0,257760.0,0.2578,0.3658,19
2026-08-31,100175210.0,100000000.0,175210.0,0.1752,0.3661,19
